Unit,Unit Type,SqFt,Current Rent
10522,3BR/2BA,980,1100
10528,3BR/2BA,980,1100
10544,3BR/2BA,980,1100
10544-S,1BR/1BA,400,750
10546,3BR/2BA,980,1000
