Unit,Unit Type,SqFt,Current Rent
5071-A,2BR/1BA,700,800
5071-B,2BR/1BA,700,800
5071-C,2BR/1BA,700,800
5071-D,3BR/1BA,850,900
5081-A,2BR/1BA,700,800
5081-B,2BR/1BA,700,800
5081-C,2BR/1BA,700,800
5081-D,3BR/1BA,850,900
5087-A,2BR/1BA,700,800
5087-B,2BR/1BA,700,800
5087-C,2BR/1BA,700,800
5087-D,3BR/1BA,850,900
