Unit,Unit Type,SqFt,Current Rent
1,1BR/1BA,650,1400
2,1BR/1BA,650,1400
3,1BR/1BA,650,1400
4,1BR/1BA,650,1400
5,1BR/1BA,650,1400
6,1BR/1BA,650,1400
7,1BR/1BA,650,1400
8,1BR/1BA,650,1400
