Unit,Unit Type,SqFt,Current Rent
B,3BR/2BA,896,1300
C,3BR/2BA,896,1300
D,3BR/2BA,896,1300
E,3BR/2BA,896,1300
F,3BR/2BA,896,450
G,3BR/2BA,896,1300
H,3BR/2BA,1008,1300
I,3BR/2BA,1008,1300
J,3BR/2BA,896,1300
K,3BR/2BA,896,1300
L,3BR/2BA,896,685
M,3BR/2BA,896,1300
N,3BR/2BA,896,610
O,3BR/2BA,896,1300
P,3BR/2BA,896,1300
Q,3BR/2BA,1008,1300
R,3BR/2BA,1008,1300
S,3BR/2BA,1008,1300
