Unit,Unit Type,SqFt,Current Rent
H01,3BR/2BA,1222,1300
H02,3BR/2BA,1222,1300
H03,3BR/2BA,1222,1300
H04,3BR/2BA,1222,1300
H05,3BR/2BA,1222,1300
H06,3BR/2BA,1222,1300
H07,3BR/2BA,1222,1300
H08,3BR/2BA,1222,1300
H09,3BR/2BA,1222,1300
H10,3BR/2BA,1222,1300
H11,3BR/2BA,1222,1300
H12,3BR/2BA,1222,1300
H13,3BR/2BA,1222,1300
H14,2BR/1BA,900,600
H15,2BR/1BA,900,600
H16,2BR/1BA,900,600
